month,delay_category,num_flights,avg_delay
1,early,11202724,-16.96139733514813
1,late,7416571,71.4237428590652
1,on_time,4039285,6.678442100520265
2,early,10002347,-17.48258833651742
2,late,6844963,70.00250052483848
2,on_time,3692129,6.757951306685113
3,early,12866139,-18.732544627413088
3,late,8536429,79.239645172472
3,on_time,3896544,6.750158345446632
4,early,11631317,-17.684145484127033
4,late,9887318,82.6504570804742
4,on_time,3952715,6.829227758641845
5,early,13568763,-20.574897873888727
5,late,8576314,77.41440798459571
5,on_time,3625513,6.817848949927914
6,early,10151095,-17.508074350599614
6,late,10952236,97.03418069150446
6,on_time,3474626,6.852815813845864
7,early,10271814,-18.135835598269207
7,late,12006958,95.51721968212098
7,on_time,3728339,6.915418099051616
8,early,13250419,-18.858351724575652
8,late,9329151,77.38827959800415
8,on_time,4292546,6.815610595669796
9,early,16699269,-21.332686598437334
9,late,4888150,79.52953837341326
9,on_time,3067743,6.455706687294209
10,early,15721438,-18.089058201927838
10,late,6501767,64.66693977191123
10,on_time,4490283,6.59120661214449
11,early,14161381,-17.218936557105554
11,late,6188361,59.5347094327561
11,on_time,4274317,6.598892407839662
12,early,8568420,-15.327554204859238
12,late,10937491,75.66554166764571
12,on_time,4395243,7.0291360454928205
